"","actbillscc1","actbillscc10","actbillscc11","actbillscc2","actbillscc3","actbillscc4","actbillscc5","actbillscc6","actbillscc7","actbillscc8","actbillscc9","age","age_grp","billscc","brrise","desavebcs1","desavebcs2","desavebcs3","desavebcs4","desavebcs5","desavebcs6","dfihhyr","dfihhyrchg","fihhyr2","fisc_impact1","fisc_impact2","fisc_impact3","fisc_impact4","fisc_impact5","fisc_impact6","fisc_impact7","fisc_impact8","fisc_likact1","fisc_likact2","fisc_likact3","fisc_likact4","fisc_likact5","fisc_likact6","fisc11_act1","fisc11_act2","fisc11_act3","fisc11_act4","fisc11_act5","fisc11_act6","fisc11_conc1","fisc11_conc2","fisc11_conc3","fisc11_conc4","fisc11_conc5","fisc11_conc6","fisc11_conc7","fisc11_conc8","forebeareffsec","forebeareffunsec","forebearsec1","forebearsec2","forebearsec3","forebearsec4","forebearsec5","forebearsec6","forebearsec7","forebearsec8","forebearunsec1","forebearunsec2","forebearunsec3","forebearunsec4","forebearunsec5","hscntcr1","hscntcr2","hscrchg","hsval","huresp","intmg","jbstat","mastat","mg1tot","nvesttot","pubsecty","region","saveamount","savebcs1","savebcs10","savebcs11","savebcs12","savebcs13","savebcs2","savebcs3","savebcs4","savebcs5","savebcs6","savebcs7","savebcs8","savebcs9","savingch","sex","soc","subsid","tenure","uncert","uncertch","us","usa","usb","usc","usd","use","usg","ush","usi","usj","ustot","weight","xphpdf","xphsdf","xpmg","xpus"
"32","no","no","no","no","no","no","no","yes","yes","no","no",59,"55 - 64","keeping up, struggle from time to time",NA,NA,NA,NA,NA,NA,NA,"<=199","down £50-£100","£17,500-£24,999","no","no","no","yes","no","no","no","no","don't know","don't know","don't know","don't know","don't know","don't know","no","no","no","no","no","yes","no","no","no","yes","yes","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","no","not applicable",NA,"yes","not applicable","long-term sick/disab","marrried or couple","not applicable","£5,000 - £5,999","yes","North","£50-£99",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"don't know","Female","C2",20134471,"Owned outright","vague idea","no change","no","no","no","no","no","no","no","no","no","no","not applicable",0.805423642,"not applicable","no","not applicable","not applicable"
"33","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable",56,"55 - 64","keeping up without much difficulty",NA,NA,NA,NA,NA,NA,NA,"£200-£299","no change","£25,000-£29,999","no","no","no","no","no","yes","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","no","no","no","no","yes","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","no","no","no","yes","no","no","harder","not applicable","not applicable","not applicable","in paid employ","marrried or couple","not applicable","£500-£999","no","Scotland","£100-£149",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Don’t plan to change my monthly savings","Male","D",20135994,"Local authority rented","vague idea","no change","yes","yes","no","yes","no","no","no","yes","no","no","£3,500-£3,999",1.06060059,"no","no","not applicable","£120-£139"
"34","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable",33,"25 - 34","keeping up without much difficulty",NA,NA,NA,NA,NA,NA,NA,"£800-£899","up <£50","£30,000-£39,999","no","no","no","no","no","no","yes","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","no","no","no","no","yes","no","no",NA,NA,"no","no","no","no","no","no","no","yes",NA,NA,NA,NA,NA,"no","no","not applicable","£175,000-£199,999","yes","fixed","in paid employ","never married","£70,000-£79,999","£20,000 - £24,999","refused","Greater London","£200-£249",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"don't know","Male","C1",20151627,"Owned mortgage","good idea","no change","no","no","no","no","no","no","no","no","no","no","not applicable",1.02097167,"not applicable","no","£550-£599","not applicable"
"35","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable",40,"35 - 44","keeping up without much difficulty",NA,NA,NA,NA,NA,NA,NA,"£2,000-£2,999","no change","£50,000-£74,999","no","no","no","yes","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","yes","no","yes","no","no","yes","no","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","no","not applicable","not applicable","not applicable","not applicable","in paid employ","never married","not applicable","£12,500 - £14,999","yes","West Midlands","£700-£799","no","yes","no","no","no","no","no","no","no","no","no","no","no","Increase by £200-£299 a month","Female","B",20172868,"Private rented","good idea","no change","no","no","no","no","no","no","no","no","no","no","not applicable",1.31567373,"not applicable","no","not applicable","not applicable"
"36","no","yes","no","no","no","no","no","yes","no","no","no",24,"18 - 24","keeping up, struggle from time to time",NA,NA,NA,NA,NA,NA,NA,"£1,000-£1,199","no change","£30,000-£39,999","no","no","yes","no","no","no","no","no","don't know","don't know","don't know","don't know","don't know","don't know","yes","no","no","no","no","no","no","yes","no","no","no","no","no","no","I would be up to date with my mortgage payments, but it would be a struggle",NA,"no","no","no","yes","no","no","no","no","no","no","no","no","yes","no","yes","harder","£150,000-£174,999","yes","fixed","in paid employ","marrried or couple","£100,000-£109,999","£3,000 - £3,999","yes","North West","£200-£249","no","no","no","no","no","no","no","no","no","no","no","no","yes","Increase by £100-£149 a month","Female","C1",20178085,"Owned mortgage","vague idea","no change","yes","no","no","yes","no","no","no","no","yes","no","£200-£499",0.820102028,"no","yes","£800-£849","£20-£29"
"37","no","yes","no","no","no","no","no","yes","yes","no","no",32,"25 - 34","keeping up, constant struggle",NA,NA,NA,NA,NA,NA,NA,"<=199","down £50-£100","£15,500-£17,499","yes","no","no","yes","yes","no","no","no","no","no","yes","no","no","no","yes","no","no","yes","no","no","no","yes","no","yes","yes","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","no","no","no","yes","yes","yes","harder","not applicable","not applicable","not applicable","in paid employ","marrried or couple","not applicable","<£500","no","South West","<=25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Don’t plan to change my monthly savings","Female","D",20182838,"Private rented","no idea","more certain","yes","no","yes","yes","no","no","no","yes","yes","no","£15,000-£19,999",0.895806617,"heavy","yes","not applicable","£200-£219"
"38","no","yes","no","no","no","no","no","yes","no","no","no",32,"25 - 34","keeping up, struggle from time to time","£50-99",NA,NA,NA,NA,NA,NA,"£1,200-£1,399","down £50-£100","£50,000-£74,999","yes","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","yes","no","no","no","yes","no","no","no","no","no","no",NA,NA,"no","no","no","no","no","no","no","yes","no","no","no","no","yes","yes","yes","harder","£175,000-£199,999","yes","base rate tracker","in paid employ","marrried or couple","£150,000-£169,999","None","no","East Midlands","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Don’t plan to change my monthly savings","Female","C1",20183409,"Owned mortgage","vague idea","less certain","yes","yes","yes","yes","no","no","no","no","no","no","£25,000-£29,999",0.885305062,"somewhat","no","£900-£949","£300-£349"
"39","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable",58,"55 - 64","keeping up without much difficulty","£700-799",NA,NA,NA,NA,NA,NA,"£800-£899","no change","£75,000-£99,999","no","no","no","no","no","yes","no","no","yes","no","no","no","no","no",NA,NA,NA,NA,NA,NA,"no","no","no","no","yes","no","no","no",NA,NA,"no","no","no","no","no","no","no","yes","no","no","no","no","yes","yes","no","don't know","£400,000-£449,999","yes","base rate tracker","in paid employ","marrried or couple","£170,000-£189,999","£5,000 - £5,999","no","Scotland","£100-£149",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Don’t plan to change my monthly savings","Male","B",20183602,"Owned mortgage","good idea","no change","yes","no","no","yes","no","no","no","yes","no","no","£1,000-£1,499",1.23174439,"somewhat","no","£1,000-£1,249",">=£500"
"40","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable",31,"25 - 34","keeping up without much difficulty",NA,NA,NA,NA,NA,NA,NA,"<=199","no change","£50,000-£74,999","yes","no","no","no","no","no","no","no","yes","no","no","no","no","no","yes","no","no","no","no","no","no","yes","no","no","yes","no","no","no",NA,NA,"no","no","no","no","no","no","no","yes","no","no","no","no","yes","no","don't know","the same","£175,000-£199,999","yes","fixed","in paid employ","marrried or couple","£70,000-£79,999","£7,000 - £7,999","yes","North","£100-£149",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Don’t plan to change my monthly savings","Male","C2",20183627,"Owned mortgage","good idea","no change","yes","no","no","yes","no","no","yes","no","no","no","<£200",0.949665138,"no","no","£550-£599","£260-£279"
"41","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable",65,"65+","keeping up without much difficulty",NA,NA,NA,NA,NA,NA,NA,"refused","down £50-£100","£25,000-£29,999","no","no","no","no","no","yes","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","no","no","no","no","yes","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","no","no","no","yes","no","no","not applicable",NA,"yes","not applicable","retired","marrried or couple","not applicable","refused","no","East Anglia","refused",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"refused","Male","C1",20183937,"Owned outright","good idea","no change","yes","no","no","yes","no","no","no","no","no","no","£200-£499",0.907251908,"no","no","not applicable","£120-£139"
"42","no","no","no","no","no","no","no","yes","no","no","no",34,"25 - 34","keeping up, constant struggle",NA,NA,NA,NA,NA,NA,NA,"<=199","down <£50","£9,500-£11,499","no","no","no","no","no","yes","no","no","yes","no","yes","yes","no","no",NA,NA,NA,NA,NA,NA,"yes","no","no","no","no","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"don't know","don't know","don't know","don't know","don't know","yes","no","not applicable","not applicable","not applicable","not applicable","in paid employ","never married","not applicable","£7,000 - £7,999","no","East Anglia","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"don't know","Female","C1",20184022,"Private rented","vague idea","no change","yes","no","no","yes","yes","no","no","no","no","no","£500-£999",0.860100304,"somewhat","no","not applicable","£20-£29"
"43","no","no","no","no","no","no","no","yes","no","no","no",37,"35 - 44","keeping up, struggle from time to time",NA,NA,NA,NA,NA,NA,NA,"£500-£599","down >£100","£15,500-£17,499","no","no","yes","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","yes","no","no","yes","yes","yes","no","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","no","no","no","yes","no","no","harder","not applicable","not applicable","not applicable","in paid employ","widowed/divorced/separated","not applicable","None","yes","Wales","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Don’t plan to change my monthly savings","Female","C1",20184252,"Local authority rented","no idea","less certain","yes","no","no","yes","no","no","no","no","no","yes","£5,000-£5,499",1.13471012,"somewhat","no","not applicable","£140-£159"
"44","no","no","no","no","no","no","no","yes","no","no","no",31,"25 - 34","keeping up, struggle from time to time",NA,NA,NA,NA,NA,NA,NA,"£300-£399","no change","£75,000-£99,999","no","no","no","no","no","yes","no","no","no","no","yes","no","no","no",NA,NA,NA,NA,NA,NA,"yes","yes","no","no","no","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","no","not applicable","not applicable","not applicable","not applicable","in paid employ","marrried or couple","not applicable","£9,000 - £9,999","yes","Greater London","£200-£249","no","no","no","no","no","no","no","no","no","no","no","yes","no","Increase by £200-£299 a month","Female","C1",20184315,"Private rented","good idea","no change","no","no","no","no","no","no","no","no","no","no","not applicable",1.03098583,"not applicable","no","not applicable","not applicable"
"45","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable",49,"45 - 54","keeping up without much difficulty",NA,NA,NA,NA,NA,NA,NA,"don't know","no change","£75,000-£99,999","no","no","no","no","no","yes","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","no","no","no","no","no","yes","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","no","no","no","yes","no","no","the same","not applicable","not applicable","not applicable","in paid employ","marrried or couple","not applicable","refused","refused","Scotland","£200-£249",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"refused","Male","C2",20184369,"Local authority rented","refused","refused","yes","yes","yes","yes","no","no","no","no","no","no","refused",1.24055172,"no","no","not applicable","refused"
"46","no","no","no","no","no","no","no","no","no","no","yes",51,"45 - 54","keeping up, constant struggle",NA,NA,NA,NA,NA,NA,NA,"<=199","down >£100","£17,500-£24,999","no","yes","no","yes","yes","no","no","no","no","no","yes","no","no","no","no","no","no","no","yes","no","no","yes","no","yes","no","no","no","no",NA,"I would be behind on my loan payments",NA,NA,NA,NA,NA,NA,NA,NA,"no","yes","no","no","no","no","no","not applicable","not applicable","not applicable","not applicable","in paid employ","never married","not applicable","<£500","no","Greater London","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Don’t plan to change my monthly savings","Female","C1",20185858,"Local authority rented","no idea","less certain","yes","no","yes","no","no","no","no","yes","no","yes","£6,500-£6,999",1.08388943,"heavy","no","not applicable",">=£500"
"47","no","no","no","no","no","no","no","no","no","no","yes",68,"65+","keeping up, constant struggle","£100-149",NA,NA,NA,NA,NA,NA,"£400-£499","down <£50","£17,500-£24,999","no","no","no","no","no","yes","no","no","no","no","no","no","yes","no",NA,NA,NA,NA,NA,NA,"no","no","no","no","yes","no","no","no",NA,NA,"no","no","no","no","no","no","no","yes","no","no","no","no","yes","no","no","not applicable","£125,000-£149,999","yes","standard variable rate (SVR)","retired","never married","£50,000-£59,999","None","no","North West","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"don't know","Male","C1",20187687,"Owned mortgage","vague idea","no change","yes","no","no","yes","no","no","no","no","no","no","£10,000-£14,999",1.0235875,"somewhat","no","£200-£249","£350-£399"
"48","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable",63,"55 - 64","keeping up without much difficulty",NA,NA,NA,NA,NA,NA,NA,"<=199","no change","£17,500-£24,999","no","no","no","no","no","yes","no","no","no","no","no","no","yes","no",NA,NA,NA,NA,NA,NA,"no","no","yes","no","no","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","no","not applicable",NA,"yes","not applicable","in paid employ","marrried or couple","not applicable","£40,000 - £44,999","no","South East","<=25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Don’t plan to change my monthly savings","Male","C1",20187727,"Owned outright","vague idea","no change","no","no","no","no","no","no","no","no","no","no","not applicable",0.931420289,"not applicable","no","not applicable","not applicable"
"49","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable",61,"55 - 64","keeping up without much difficulty",NA,NA,NA,NA,NA,NA,NA,"£1,000-£1,199","down <£50","£50,000-£74,999","no","no","no","no","no","yes","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","no","no","no","no","yes","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","no","not applicable",NA,"yes","not applicable","retired","marrried or couple","not applicable","£50,000 - £74,999","no","North West","£500-£599",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Don’t plan to change my monthly savings","Female","C2",20188582,"Owned outright","good idea","no change","no","no","no","no","no","no","no","no","no","no","not applicable",0.831009613,"not applicable","no","not applicable","not applicable"
"50","no","no","no","no","no","no","no","yes","no","no","no",70,"65+","keeping up, struggle from time to time",NA,NA,NA,NA,NA,NA,NA,"£200-£299","no change","£9,500-£11,499","no","no","no","yes","no","no","no","no","don't know","don't know","don't know","don't know","don't know","don't know","no","no","no","no","yes","no","yes","no","yes","yes","no","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","no","no","no","yes","yes","no","the same","not applicable","not applicable","not applicable","retired","marrried or couple","not applicable","None","no","North West","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Don’t plan to change my monthly savings","Male","C2",20191355,"Local authority rented","vague idea","less certain","yes","no","yes","yes","no","yes","no","yes","no","no","£2,000-£2,499",1.1546764,"no","no","not applicable","£240-£259"
